"startYear","endYear","genderConceptId","startAge","endAge","population","country","location"
2010,2010,8507,3,3,242564,"KOR","KOR"
2010,2010,8532,3,3,227781,"KOR","KOR"
2011,2011,8507,3,3,246974,"KOR","KOR"
2011,2011,8532,3,3,233003,"KOR","KOR"
2012,2012,8507,3,3,235009,"KOR","KOR"
2012,2012,8532,3,3,221393,"KOR","KOR"
2013,2013,8507,3,3,236550,"KOR","KOR"
2013,2013,8532,3,3,222424,"KOR","KOR"
2014,2014,8507,3,3,243527,"KOR","KOR"
2014,2014,8532,3,3,229783,"KOR","KOR"
2015,2015,8507,3,3,247249,"KOR","KOR"
2015,2015,8532,3,3,234417,"KOR","KOR"
2016,2016,8507,3,3,238218,"KOR","KOR"
2016,2016,8532,3,3,226238,"KOR","KOR"
2017,2017,8507,3,3,225426,"KOR","KOR"
2017,2017,8532,3,3,214531,"KOR","KOR"
2018,2018,8507,3,3,226222,"KOR","KOR"
2018,2018,8532,3,3,215266,"KOR","KOR"
1993,1993,8507,4,4,332776,"KOR","KOR"
1993,1993,8532,4,4,297698,"KOR","KOR"
1994,1994,8507,4,4,339014,"KOR","KOR"
1994,1994,8532,4,4,299185,"KOR","KOR"
1995,1995,8507,4,4,358442,"KOR","KOR"
1995,1995,8532,4,4,315505,"KOR","KOR"
1996,1996,8507,4,4,379436,"KOR","KOR"
1996,1996,8532,4,4,337265,"KOR","KOR"
1997,1997,8507,4,4,384011,"KOR","KOR"
1997,1997,8532,4,4,336612,"KOR","KOR"
1998,1998,8507,4,4,382234,"KOR","KOR"
1998,1998,8532,4,4,332479,"KOR","KOR"
1999,1999,8507,4,4,379920,"KOR","KOR"
1999,1999,8532,4,4,333263,"KOR","KOR"
2000,2000,8507,4,4,369639,"KOR","KOR"
2000,2000,8532,4,4,329208,"KOR","KOR"
2001,2001,8507,4,4,356135,"KOR","KOR"
2001,2001,8532,4,4,324458,"KOR","KOR"
2002,2002,8507,4,4,342840,"KOR","KOR"
2002,2002,8532,4,4,314464,"KOR","KOR"
2003,2003,8507,4,4,329862,"KOR","KOR"
2003,2003,8532,4,4,300605,"KOR","KOR"
2004,2004,8507,4,4,329200,"KOR","KOR"
2004,2004,8532,4,4,300344,"KOR","KOR"
2005,2005,8507,4,4,312827,"KOR","KOR"
2005,2005,8532,4,4,286237,"KOR","KOR"
2006,2006,8507,4,4,274841,"KOR","KOR"
2006,2006,8532,4,4,251841,"KOR","KOR"
2007,2007,8507,4,4,257244,"KOR","KOR"
2007,2007,8532,4,4,236321,"KOR","KOR"
2008,2008,8507,4,4,250675,"KOR","KOR"
2008,2008,8532,4,4,232214,"KOR","KOR"
2009,2009,8507,4,4,235218,"KOR","KOR"
2009,2009,8532,4,4,218600,"KOR","KOR"
2010,2010,8507,4,4,228422,"KOR","KOR"
2010,2010,8532,4,4,212907,"KOR","KOR"
2011,2011,8507,4,4,242956,"KOR","KOR"
2011,2011,8532,4,4,228126,"KOR","KOR"
2012,2012,8507,4,4,247367,"KOR","KOR"
2012,2012,8532,4,4,233371,"KOR","KOR"
2013,2013,8507,4,4,235339,"KOR","KOR"
2013,2013,8532,4,4,221730,"KOR","KOR"
2014,2014,8507,4,4,236892,"KOR","KOR"
2014,2014,8532,4,4,222796,"KOR","KOR"
2015,2015,8507,4,4,243794,"KOR","KOR"
2015,2015,8532,4,4,230106,"KOR","KOR"
2016,2016,8507,4,4,247434,"KOR","KOR"
